,Venue,City,Country,Date,Year,Setlist,State
49,Boston Music Hail,Boston,USA,1972-09-15,1972,"['promised land', 'sugaree', 'greatest story ever told', 'china cat sunflower', 'i know you rider', 'black throated wind', 'tennessee jed', 'el paso', 'loser', 'jack straw', 'friend of the devil', 'playing in the band', 'casey jones', ""he's gone"", 'me and my uncle', 'bird song', 'mexicali blues', 'ramble on rose', ""truckin'"", 'drums', 'the other one', 'sugar magnolia', 'one more saturday night']",MA
50,Boston Music Hail,Boston,USA,1972-09-16,1972,"['bertha', 'me and my uncle', 'deal', 'black throated wind', 'you win again', 'big river', 'bird song', 'mexicali blues', 'stella blue', 'jack straw', 'big railroad blues', 'playing in the band', 'morning dew', 'greatest story ever told', ""he's gone"", 'el paso', ""don't ease me in"", 'dark star', 'brokedown palace', 'promised land', 'ramble on rose', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",MA
51,Civic Center,Baltimore,USA,1972-09-17,1972,"['promised land', 'sugaree', 'black throated wind', 'friend of the devil', 'el paso', 'bird song', 'big river', 'tennessee jed', 'mexicali blues', 'china cat sunflower', 'i kow you rider', 'playing in the band', 'casey jones', ""truckin'"", 'loser', 'jack straw', 'mississippi half-step', 'me and my uncle', ""he's gone"", 'the other one', 'sing me back home', 'sugar magnolia', ""uncle john's band"", 'one more saturday night']",MD
52,Roosevelt Stadium,Jersey City,USA,1972-09-19,1972,"['bertha', 'greatest story ever told', 'bird song', 'black throated wind', 'big railroad blues', 'me and my uncle', 'sugaree', 'jack straw', 'tennessee jed', 'promised land', 'mississippi half-step', 'mexicall', 'brokedown palace', 'beat it on down the line', 'deal', 'big river', ""he's gone"", 'the other one', 'stella blue', 'sugar magnolia', 'casey jones', 'one more saturday night', 'johnny b. goode']",NJ
53,The Spectrum,Philadelphia,USA,1972-09-21,1972,"['promised land', 'bird song', 'el paso', 'china cat sunflower', 'i know you rider', 'black throated wind', 'big railroad blues', 'jack straw', 'loser', 'big river', 'ramble on rose', 'cumberland blues', 'playing in the band', ""he's gone"", ""truckin'"", 'black peter', 'mexicali blues', 'dark star', 'morning dew', 'beat it on down the line', 'mississippi half-step', 'sugar magnolia', 'friend of the devil', 'not fade away', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",PA
54,The Palace Theater,Waterbury,USA,1972-09-23,1972,"['big river', 'sugaree', 'mexicali blues', 'black throated wind', 'china cat sunflower', 'i know you rider', 'me and my uncle', 'tennessee jed', 'jack straw', 'bird song', 'el paso', 'deal', 'playing in the band', 'promised land', 'bertha', 'greatest story ever told', 'brown eyed women', 'around and around', ""it's all over now, baby blue"", 'cryptical envelopment', 'drums', 'the other one', 'wharf rat', 'beat it on down the line', 'ramble on rose', 'sugar magnolia', ""goin' down the road feeling bad"", 'not fade away', 'one more saturday night']",CT
55,The Palace Theater,Waterbury,USA,1972-09-24,1972,"['big railroad blues', 'mexicali blues', 'loser', 'black throated wind', 'cumberland blues', 'sugaree', 'el paso', 'tennessee jed', 'beat it on down the line', 'bird song', 'big river', 'brown eyed women', 'playing in the band', 'greatest story ever told', 'bertha', 'promised land', 'friend of the devil', 'jack straw', 'tomorrow is forever', 'me and my uncle', 'dark star', 'drums', 'china cat sunflower', 'i know you rider', 'sugar magnolia', 'one more saturday night']",CT
56,Stanley Theatre,Jersey City,USA,1972-09-26,1972,"['promised land', 'cold rain and snow', 'me & m uncle', ""he's gone"", 'mexicali blues', 'deal', 'big river', 'cumberland blues', 'black throated wind', 'bird song', 'sugaree', 'around and around', 'playing in the band', 'el paso', 'mississippi half-step', 'greatest story ever told', 'tomorrow is forever', ""truckin'"", 'the other one', ""it's all over now, baby blue"", 'sugar magnolia', '26 miles', 'johnny b. goode']",NJ
57,Stanley Theatre,Jersey City,USA,1972-09-27,1972,"['morning dew', 'beat it on down the line', 'friend of the devil', 'black throated wind', 'tennessee jed', 'mexicali blues', 'bird song', 'big river', 'brokedown palace', 'el paso', 'china cat sunflower', 'i know you rider', 'playing in the band', ""he's gone"", 'jack straw', 'deal', 'greatest story ever told', 'ramble on rose', 'dark star', 'cumberland blues', 'attics of my life', 'promised land', ""uncle john's band"", 'casey jones', 'around and around']",NJ
58,Stanley Theatre,Jersey City,USA,1972-09-28,1972,"[""truckin'"", 'loser', 'beat it on down the line', 'brown eyed women', 'mexicali blues', 'mississippi half-step', 'black throated wind', ""don't ease me in"", 'big river', 'tennessee jed', 'promised land', 'china cat sunflower', 'i know you rider', 'playing in the band', 'bertha', 'greatest story ever told', 'brokedown palace', 'me and my uncle', 'ramble on rose', 'el paso', ""he's gone"", 'the other one', 'me and bobby mcgee', 'the other one', 'wharf rat', 'sugar magnolia', 'not fade away', ""goin' down the road feeling bad"", 'not fade away']",NJ
